Rank,Player,Team,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
153,Jalen Richard,OAK,26,,16,0,43,36,83.70%,323,9,0,15,33,7.5,2.3,20.2,2
154,Latavius Murray,NOR,29,rb,16,8,43,34,79.10%,235,6.9,1,9,30,5.5,2.1,14.7,0
155,Nick Boyle,BAL,26,TE,16,15,43,31,72.10%,321,10.4,2,13,35,7.5,1.9,20.1,0
156,Giovani Bernard,CIN,28,,16,2,43,30,69.80%,234,7.8,0,7,35,5.4,1.9,14.6,2
157,Josh Reynolds,LAR,24,,16,2,43,21,48.80%,326,15.5,1,15,31,7.6,1.3,20.4,0
158,J.D. McKissic,DET,26,,16,3,42,34,81.00%,233,6.9,1,7,26,5.5,2.1,14.6,0
159,Cody Latimer,NYG,27,wr,15,10,42,24,57.10%,300,12.5,2,19,43,7.1,1.6,20,0
160,Paul Richardson,WAS,27,WR,10,6,42,28,66.70%,245,8.8,2,13,22,5.8,2.8,24.5,0
161,KeeSean Johnson,ARI,23,,10,4,42,21,50.00%,187,8.9,1,10,31,4.5,2.1,18.7,1
162,Kaden Smith,NYG,22,te,9,6,42,31,73.80%,268,8.6,3,12,32,6.4,3.4,29.8,2
163,DeAndre Washington,OAK,26,,16,3,41,36,87.80%,292,8.1,0,10,28,7.1,2.3,18.3,0
164,Blake Jarwin,DAL,25,te,16,7,41,31,75.60%,365,11.8,3,17,42,8.9,1.9,22.8,1
165,Mecole Hardman,KAN,21,wr,16,5,41,26,63.40%,538,20.7,6,18,83,13.1,1.6,33.6,2
166,Jakobi Meyers,NWE,23,,15,1,41,26,63.40%,359,13.8,0,17,35,8.8,1.7,23.9,0
167,Ryan Griffin,NYJ,29,TE,13,13,41,34,82.90%,320,9.4,5,19,45,7.8,2.6,24.6,0
168,Devin Singletary,BUF,22,RB,12,8,41,29,70.70%,194,6.7,2,5,49,4.7,2.4,16.2,4
169,Ronald Jones II,TAM,22,RB,16,9,40,31,77.50%,309,10,0,12,41,7.7,1.9,19.3,3
