Player,Team,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
Gerald Everett,LAR,25,TE,13,2,60,37,408,22,230,6.2,178,4.8,9,4.1,0,0
Preston Williams,MIA,22,WR,8,7,60,32,428,24,344,10.8,84,2.6,2,16,4,6.7
Jacob Hollister,SEA,26,TE,11,3,59,41,349,16,180,4.4,169,4.1,3,13.7,1,1.7
T.J. Hockenson,DET,22,TE,12,7,59,32,367,19,167,5.2,200,6.3,4,8,2,3.4
Nyheim Hines,IND,23,RB,16,2,58,44,320,15,5,0.1,315,7.2,4,11,2,3.4
Chris Thompson,WAS,29,RB,11,0,58,42,378,16,41,1,337,8,3,14,2,3.4
Demaryius Thomas,NYJ,32,WR,11,10,58,36,433,22,263,7.3,170,4.7,1,36,5,8.6
Jarius Wright,CAR,30,WR,16,9,58,28,296,16,203,7.3,93,3.3,1,28,8,13.8
Jaylen Samuels,PIT,23,RB,14,4,57,47,305,19,-61,-1.3,366,7.8,1,47,5,8.8
Steven Sims,WAS,22,WR,16,2,56,34,310,18,138,4.1,172,5.1,1,34,4,7.1
Ted Ginn Jr.,NOR,34,WR,16,9,56,30,421,20,373,12.4,48,1.6,0,,7,12.5
John Ross,CIN,25,WR,8,8,56,28,506,22,308,11,198,7.1,3,9.3,8,14.3
Marquez Valdes-Scantling,GNB,25,WR,16,10,56,26,452,14,301,11.6,151,5.8,0,,3,5.4
Melvin Gordon,LAC,26,RB,12,11,55,42,296,11,-25,-0.6,321,7.6,8,5.3,4,7.3
Kenny Stills,HOU,27,WR,13,5,55,40,561,27,417,10.4,144,3.6,0,,2,3.6
Vance McDonald,PIT,29,TE,14,14,55,38,273,12,101,2.7,172,4.5,1,38,3,5.5
Jordan Akins,HOU,27,TE,16,9,55,36,418,21,172,4.8,246,6.8,6,6,4,7.3
Cameron Brate,TAM,28,TE,16,6,55,36,311,21,221,6.1,90,2.5,1,36,2,3.6
Geronimo Allison,GNB,25,WR,16,6,55,34,287,16,177,5.2,110,3.2,1,34,5,9.1
Demarcus Robinson,KAN,25,WR,16,10,55,32,449,19,338,10.6,111,3.5,4,8,1,1.8
Phillip Dorsett,NWE,26,WR,14,4,54,29,397,17,318,11,79,2.7,0,,0,0
O.J. Howard,TAM,25,TE,14,14,53,34,459,23,309,9.1,150,4.4,2,17,5,9.4
Allen Lazard,GNB,24,WR,16,3,52,35,477,24,346,9.9,131,3.7,0,,2,3.8
Eric Ebron,IND,26,TE,11,2,52,31,375,20,220,7.1,155,5,0,,5,9.6
DaeSean Hamilton,DEN,24,WR,16,2,52,28,297,19,169,6,128,4.6,2,14,4,7.7
Royce Freeman,DEN,23,RB,16,0,50,43,256,10,-3,-0.1,259,6,4,10.8,2,4
Dawson Knox,BUF,23,TE,15,11,50,28,388,15,244,8.7,144,5.1,3,9.3,10,20
Nick Chubb,CLE,24,RB,16,16,49,36,278,13,-40,-1.1,318,8.8,8,4.5,4,8.2
Todd Gurley,LAR,25,RB,15,15,49,31,207,8,11,0.4,196,6.3,1,31,7,14.3
Kyle Rudolph,MIN,30,TE,16,16,48,39,367,24,177,4.5,190,4.9,1,39,0,0
Phillip Lindsay,DEN,25,RB,16,16,48,35,196,9,-47,-1.3,243,6.9,0,,6,12.5
